date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:16:47	133710/133710	---MCZ	403	error ('FORBIDDEN')	text/html	date:Mon,%2006%20May%202024%2017:16:48%20GMT	https://web.archive.org/web/20140928063440im_/http://images.neopets.com/mamabar/mb_topbar.gif	C:/My%20Web%20Sites/test/web.archive.org/web/20140928063440im_/http_/images.neopets.com/mamabar/mb_topbar.gif	(from https://web.archive.org/web/20140928063440cs_/http://www.monkeyquest.com/css/mamabar.css)
13:16:48	133713/133713	---MCZ	403	error ('FORBIDDEN')	text/html	date:Mon,%2006%20May%202024%2017:16:48%20GMT	https://web.archive.org/web/20140928063440im_/http://images.neopets.com/mamabar/mb_bottombar.png	C:/My%20Web%20Sites/test/web.archive.org/web/20140928063440im_/http_/images.neopets.com/mamabar/mb_bottombar.png	(from https://web.archive.org/web/20140928063440cs_/http://www.monkeyquest.com/css/mamabar.css)
13:16:48	133716/133716	---MCZ	403	error ('FORBIDDEN')	text/html	date:Mon,%2006%20May%202024%2017:16:49%20GMT	https://web.archive.org/web/20140928063440im_/http://images.neopets.com/mamabar/mb_bottombar_ie.gif	C:/My%20Web%20Sites/test/web.archive.org/web/20140928063440im_/http_/images.neopets.com/mamabar/mb_bottombar_ie.gif	(from https://web.archive.org/web/20140928063440cs_/http://www.monkeyquest.com/css/mamabar.css)
13:16:48	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2006%20May%202024%2017:16:49%20GMT	https://web.archive.org/web/20140928063440im_/http://www.monkeyquest.com/images/background/top.jpg	C:/My%20Web%20Sites/test/web.archive.org/web/20140928063440im_/http_/www.monkeyquest.com/images/background/top.jpg	(from https://web.archive.org/web/20140928063440cs_/http://www.monkeyquest.com/css/closed.css)
13:16:48	36983/36983	U-----	200	untouched ('')	image/jpeg	date:Mon,%2006%20May%202024%2017:13:47%20GMT	https://web.archive.org/web/20140928070335im_/http://www.monkeyquest.com/images/background/top.jpg	C:/My%20Web%20Sites/test/web.archive.org/web/20140928070335im_/http_/www.monkeyquest.com/images/background/top.jpg	(from https://web.archive.org/web/20140928063440cs_/http://www.monkeyquest.com/css/closed.css)
13:16:49	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2006%20May%202024%2017:16:49%20GMT	https://web.archive.org/web/20140928063440im_/http://www.monkeyquest.com/images/background/bottom.jpg	C:/My%20Web%20Sites/test/web.archive.org/web/20140928063440im_/http_/www.monkeyquest.com/images/background/bottom.14.delayed	(from https://web.archive.org/web/20140928063440cs_/http://www.monkeyquest.com/css/closed.css)
13:16:49	43186/43186	U-----	200	untouched ('')	image/jpeg	date:Mon,%2006%20May%202024%2017:13:48%20GMT	https://web.archive.org/web/20140928070336im_/http://www.monkeyquest.com/images/background/bottom.jpg	C:/My%20Web%20Sites/test/web.archive.org/web/20140928070336im_/http_/www.monkeyquest.com/images/background/bottom.jpg	(from https://web.archive.org/web/20140928063440cs_/http://www.monkeyquest.com/css/closed.css)
13:16:49	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2006%20May%202024%2017:16:50%20GMT	https://web.archive.org/web/20140928063440im_/http://www.monkeyquest.com/images/container/top.png	C:/My%20Web%20Sites/test/web.archive.org/web/20140928063440im_/http_/www.monkeyquest.com/images/container/top.16.delayed	(from https://web.archive.org/web/20140928063440cs_/http://www.monkeyquest.com/css/closed.css)
13:16:49	259523/259523	U-----	200	untouched ('')	image/png	date:Mon,%2006%20May%202024%2017:13:50%20GMT	https://web.archive.org/web/20140928070335im_/http://www.monkeyquest.com/images/container/top.png	C:/My%20Web%20Sites/test/web.archive.org/web/20140928070335im_/http_/www.monkeyquest.com/images/container/top.png	(from https://web.archive.org/web/20140928063440cs_/http://www.monkeyquest.com/css/closed.css)
13:16:50	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2006%20May%202024%2017:16:50%20GMT	https://web.archive.org/web/20140928063440im_/http://www.monkeyquest.com/images/container/middle.png	C:/My%20Web%20Sites/test/web.archive.org/web/20140928063440im_/http_/www.monkeyquest.com/images/container/middle.18.delayed	(from https://web.archive.org/web/20140928063440cs_/http://www.monkeyquest.com/css/closed.css)
13:16:50	243/243	U-----	200	untouched ('')	image/png	date:Mon,%2006%20May%202024%2017:13:51%20GMT	https://web.archive.org/web/20140928070335im_/http://www.monkeyquest.com/images/container/middle.png	C:/My%20Web%20Sites/test/web.archive.org/web/20140928070335im_/http_/www.monkeyquest.com/images/container/middle.png	(from https://web.archive.org/web/20140928063440cs_/http://www.monkeyquest.com/css/closed.css)
13:16:50	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2006%20May%202024%2017:16:51%20GMT	https://web.archive.org/web/20140928063440im_/http://www.monkeyquest.com/images/container/bottom.png	C:/My%20Web%20Sites/test/web.archive.org/web/20140928063440im_/http_/www.monkeyquest.com/images/container/bottom.1a.delayed	(from https://web.archive.org/web/20140928063440cs_/http://www.monkeyquest.com/css/closed.css)
13:16:51	1033/1033	U-----	200	untouched ('')	image/png	date:Mon,%2006%20May%202024%2017:13:52%20GMT	https://web.archive.org/web/20140928070335im_/http://www.monkeyquest.com/images/container/bottom.png	C:/My%20Web%20Sites/test/web.archive.org/web/20140928070335im_/http_/www.monkeyquest.com/images/container/bottom.png	(from https://web.archive.org/web/20140928063440cs_/http://www.monkeyquest.com/css/closed.css)
